time,observed_ozone_NIWA(DU),modeled_ozone(DU),tsi_impact,halogen_impact(DU),aerosol_impact(DU),QBO_30mb_impact(DU)
Output created in ~tcanty/TOTAL_OZONE on Tue Nov  1 18:22:13 2016
 1999.792     1.340   -3.332   -0.145 1902.604    0.000    1.140
 1999.875     1.920   -2.588   -0.025 1901.205    0.145    0.850
 1999.958    -0.060   -2.280   -0.005 1899.942    0.076    0.720
 2000.042     0.150   -0.720    0.345 1898.658    0.138    0.530
 2000.125     0.420   -0.974    0.255 1897.359    0.174    0.450
 2000.208    -0.190   -1.586    0.105 1895.875    0.174    0.490
 2000.292    -0.310   -0.838    0.275 1894.536    0.191    0.420
 2000.375    -1.160   -1.511   -0.015 1893.005    0.150    0.110
 2000.458    -1.280   -0.717    0.075 1891.626    0.137   -0.220
 2000.542    -1.550    0.191    0.205 1890.230    0.144   -0.530
 2000.625    -0.650    1.923    0.595 1888.823    0.149   -0.700
 2000.708     0.630    0.368    0.155 1887.226    0.178   -0.810
 2000.792    -1.360    2.038    0.595 1885.796    0.180   -0.780
 2000.875    -1.680    1.948    0.535 1884.180    0.171   -0.870
 2000.958    -0.460    2.137    0.575 1882.740    0.146   -0.870
 2001.042     0.150    1.744    0.405 1881.297    0.161   -1.070
 2001.125    -2.180    2.058    0.475 1879.857    0.230   -1.130
 2001.208    -0.790    0.660    0.035 1878.239    0.147   -1.300
 2001.292     0.590    1.086    0.095 1876.804    0.095   -1.410
 2001.375    -0.560    1.452    0.145 1875.196    0.093   -1.530
 2001.458    -0.380    1.388    0.135 1873.772    0.117   -1.510
 2001.542    -0.650    2.107    0.345 1872.350    0.156   -1.450
 2001.625    -1.150    0.783    0.075 1870.934    0.166   -1.220
 2001.708    -0.570   -0.397   -0.075 1869.344    0.141   -0.720
 2001.792     1.340    1.261    0.435 1867.932    0.216   -0.510
 2001.875     2.320   -0.466    0.145 1866.344    0.183    0.000
 2001.958     1.740    0.572    0.515 1864.929    0.104    0.360
 2002.042    -0.950    1.991    0.945 1863.509    0.135    0.540
 2002.125    -1.980    1.179    0.805 1862.087    0.200    0.730
 2002.208     0.310    0.537    0.635 1860.482    0.120    0.780
 2002.292     0.690   -1.250    0.275 1859.046    0.063    1.140
 2002.375     0.940   -1.398    0.275 1857.424    0.046    1.280
 2002.458     1.020   -1.451    0.315 1855.975    0.054    1.450
 2002.542     0.250   -3.355   -0.205 1854.517    0.085    1.370
 2002.625     0.350   -2.872   -0.065 1853.055    0.115    1.410
 2002.708    -1.070   -1.993    0.085 1851.403    0.149    1.170
 2002.792     1.340   -1.469    0.155 1849.929    0.122    1.000
 2002.875     2.020   -1.296    0.075 1848.268    0.049    0.680
 2002.958     2.940    0.591    0.405 1846.788    0.070    0.200
 2003.042     1.950    0.073    0.225 1845.303    0.135    0.040
 2003.125     3.320   -0.026    0.175 1843.821    0.171   -0.040
 2003.208     2.910   -1.103   -0.175 1842.152    0.196   -0.250
 2003.292     1.890   -0.439   -0.155 1840.669    0.204   -0.700
 2003.375     0.440   -0.189   -0.195 1839.000    0.203   -1.000
 2003.458     0.620   -0.418   -0.285 1837.517    0.205   -1.080
 2003.542     0.750    0.494   -0.135 1836.034    0.209   -1.330
 2003.625     0.950    0.786   -0.105 1834.555    0.218   -1.460
 2003.708     0.930    1.053   -0.015 1832.893    0.232   -1.390
 2003.792    -1.760   -2.142   -0.815 1831.417    0.222   -1.280
 2003.875    -1.580    0.186   -0.175 1829.760    0.186   -1.140
 2003.958    -2.960   -0.051   -0.085 1828.289    0.223   -0.690
 2004.042    -5.350   -1.278   -0.275 1826.819    0.136   -0.240
 2004.125    -3.880   -2.007   -0.285 1825.354    0.177    0.290
 2004.208    -4.190   -2.045   -0.245 1823.708    0.151    0.470
 2004.292    -3.410   -2.345   -0.205 1822.247    0.131    0.850
 2004.375    -3.560   -3.281   -0.345 1820.609    0.105    1.190
 2004.458    -3.780   -3.476   -0.355 1819.155    0.116    1.320
 2004.542    -4.150   -4.518   -0.615 1817.701    0.125    1.360
 2004.625    -4.550   -3.837   -0.475 1816.253    0.129    1.260
 2004.708    -4.870   -2.777   -0.275 1814.625    0.143    1.040
 2004.792    -5.160   -2.641   -0.255 1813.180    0.138    1.010
 2004.875    -3.880   -2.615   -0.365 1811.558    0.144    0.670
 2004.958    -1.960   -1.694   -0.215 1810.117    0.117    0.430
 2005.042    -0.150   -2.719   -0.585 1808.676    0.136    0.120
 2005.125    -1.580   -2.052   -0.445 1807.239    0.177    0.010
 2005.208    -3.690   -2.104   -0.475 1805.624    0.151   -0.010
 2005.292    -5.110   -1.473   -0.495 1804.188    0.131   -0.540
 2005.375    -3.460   -0.835   -0.525 1802.576    0.105   -1.100
 2005.458    -2.280   -0.711   -0.565 1801.143    0.116   -1.310
 2005.542    -1.550   -0.367   -0.515 1799.706    0.125   -1.420
 2005.625    -1.250    0.095   -0.445 1798.269    0.129   -1.560
 2005.708    -2.370   -0.064   -0.575 1796.647    0.143   -1.820
 2005.792    -3.460    0.495   -0.485 1795.195    0.138   -1.970
 2005.875    -4.580    0.240   -0.595 1793.550    0.144   -2.090
 2005.958    -1.560    0.175   -0.525 1792.075    0.117   -1.800
 2006.042    -5.750   -0.166   -0.475 1790.583    0.136   -1.380
 2006.125    -6.980   -0.997   -0.505 1789.078    0.177   -0.830
 2006.208    -5.190   -2.314   -0.585 1787.365    0.151   -0.010
 2006.292    -5.010   -2.741   -0.565 1785.822    0.131    0.410
 2006.375    -5.160   -2.995   -0.455 1784.062    0.105    0.970
 2006.458    -4.480   -3.753   -0.545 1782.479    0.116    1.300
 2006.542    -5.550   -3.932   -0.555 1780.877    0.125    1.420
 2006.625    -5.150   -4.340   -0.665 1779.263    0.129    1.420
 2006.708    -5.870   -3.649   -0.535 1777.431    0.143    1.280
 2006.792    -6.360   -3.639   -0.545 1775.792    0.138    1.260
 2006.875    -3.080   -3.969   -0.675 1773.941    0.144    1.140
 2006.958    -4.960   -3.393   -0.665 1772.293    0.117    0.750
 2007.042    -4.050   -2.863   -0.655 1770.642    0.136    0.370
 2007.125    -3.680   -2.797   -0.665 1768.994    0.177    0.280
 2007.208    -2.690   -2.397   -0.625 1767.144    0.151    0.120
 2007.292    -2.210   -1.789   -0.655 1765.505    0.131   -0.420
 2007.375    -3.860   -1.097   -0.685 1763.669    0.105   -1.020
 2007.458    -1.780   -0.368   -0.615 1762.045    0.116   -1.370
 2007.542    -0.250   -0.254   -0.625 1760.424    0.125   -1.480
 2007.625    -0.250    0.069   -0.615 1758.811    0.129   -1.690
 2007.708    -2.470    0.118   -0.655 1757.001    0.143   -1.840
 2007.792    -2.860    0.409   -0.635 1755.394    0.138   -1.990
 2007.875    -0.880    0.080   -0.705 1753.585    0.144   -1.930
 2007.958    -1.360   -0.546   -0.685 1751.976    0.117   -1.350
 2008.042    -3.650   -1.065   -0.655 1750.361    0.136   -0.850
 2008.125    -6.280   -1.702   -0.635 1748.745    0.177   -0.300
 2008.208    -6.990   -2.570   -0.705 1746.918    0.151    0.200
 2008.292    -5.110   -2.792   -0.665 1745.287    0.131    0.520
 2008.375    -4.360   -3.417   -0.655 1743.443    0.105    1.070
 2008.458    -4.780   -4.096   -0.705 1741.795    0.116    1.460
 2008.542    -5.150   -4.300   -0.705 1740.137    0.125    1.630
 2008.625    -5.050   -4.144   -0.715 1738.474    0.129    1.490
 2008.708    -5.070   -4.004   -0.715 1736.595    0.143    1.390
 2008.792    -5.460   -3.763   -0.695 1734.919    0.138    1.280
 2008.875    -3.480   -3.348   -0.665 1733.028    0.144    1.060
 2008.958    -3.660   -3.424   -0.685 1731.343    0.117    1.090
 2009.042    -4.650   -3.496   -0.725 1729.652    0.136    1.030
 2009.125    -5.980   -3.390   -0.675 1727.963    0.177    1.090
 2009.208    -2.890   -3.400   -0.735 1726.059    0.151    0.950
 2009.292    -2.810   -3.213   -0.765 1724.368    0.131    0.740
 2009.375    -3.260   -2.251   -0.685 1722.463    0.105    0.260
 2009.458    -1.780   -1.919   -0.715 1720.770    0.116   -0.080
 2009.542    -0.850   -1.587   -0.755 1719.076    0.125   -0.450
 2009.625     0.050   -1.263   -0.735 1717.385    0.129   -0.630
 2009.708     0.030   -1.071   -0.705 1715.484    0.143   -0.680
 2009.792    -1.460   -1.175   -0.705 1713.796    0.138   -0.580
 2009.875    -0.580   -0.633   -0.645 1711.900    0.144   -0.810
 2009.958     1.740   -0.389   -0.665 1710.217    0.117   -1.030
 2010.042     2.850    0.040   -0.595 1708.533    0.136   -1.150
 2010.125     2.120    0.837   -0.435 1706.854    0.177   -1.300
 2010.208     2.610    0.813   -0.545 1704.969    0.151   -1.580
 2010.292     4.590    1.590   -0.465 1703.295    0.131   -1.920
 2010.375     3.740    1.553   -0.515 1701.417    0.105   -2.010
 2010.458     0.820    0.822   -0.595 1699.750    0.116   -1.670
 2010.542     0.550   -0.557   -0.485 1698.082    0.125   -0.250
 2010.625     0.050   -1.743   -0.495 1696.420    0.129    0.660
 2010.708     0.030   -1.986   -0.455 1694.553    0.143    0.980
 2010.792     0.540   -2.552   -0.515 1692.893    0.138    1.260
